Please add any networks advancing open scholarship in their communities, and add or fix any missing data in the ones listed already! JOIN THE GOOGLE GROUP HERE: https://groups.google.com/a/cos.io/forum/#!forum/network-of-open-science-grassroots-networks													
Name	Website	Twitter Handle	Facebook Page	Region Served (specify or ALL)	Discipline(s) Served (Specify or ALL)	Topics/Activities Served (Specify or ALL)	Kind of Topics	Primary Contact (email)	Primary Contact (other)	Secondary Contact (email)	Secondary Contact (other)	Comments	
Community Surface Dynamics Modeling System (CSDMS)	https://csdms.colorado.edu/	@CSDMS		ALL	Geosciences	Open source, open science, citable software registry/repository, model interoperability, teaching resources	Service	CSDMS@colorado.edu				Also maintains a list of parameter Standard Names for model interoperability, as well as a framework (web, Python) for model coupling - including across grid types and languages	
CORE	https://core.ac.uk/	@oacore		ALL	ALL	Open Access, Research Papers	Service	theteam@core.ac.uk		petr.knoth@open.ac.uk		The world's largest collection of open access research papers	
Curate Science	https://curatescience.org/app/	@curatescience		ALL	Psychology/Social Sciences	Curating transparency & replications	Service	etienne.lebel@gmail.com	@eplebel			Curating (primary & secondary) transparency & replications of scientific articles.	
Digital Library Services, University of Cape Town Libraries	http://www.digitalservices.lib.uct.ac.za/	@DigitalUct	N/A	University of Cape Town, South Africa	ALL	Open Scholarship, Open Data, Digitisation	Service	niklas.zimmer@uct.ac.za	@NikasZimmer	sanjin.muftic@uct.ac.za	@sanjomuftic	Digital Library Services at UCT Libraries offer Digital Scholarship and Data Services to the research, teaching and learning community.	
EarthArXiv	http://eartharxiv.org	@eartharxiv		ALL	Earth Sciences	Preprints and Postprints	Service	tnarock@ndm.edu	@tnarock	c.jackson@imperial.ac.uk	@seis_matters	Preprint and postprint repository for the Earth and Planetary Sciences	
EcoEvoRxiv	https://ecoevorxiv.org/	@ecoevorxiv		ALL	Ecology and Evolutionary Biology	Preprints and Postprints	Service	s.nakagawa@unsw.edu.au 		Fidlerfm@unimelb.edu.au 			
EdArXiv	https://edarxiv.org/	@edarxiv		ALL	Education	Preprints and Postprints	Service	makel@jhu.edu	@mattmakel	akmontoya@ucla.edu			
EFOSI	https://projekte.uni-erfurt.de/efosi/			Germany, Erfurt	ALL (theoretically), Psychology and related disciplines (in its current form)	ALL	Initiative	frank.renkewitz@uni-erfurt.de		judith.schweppe@uni-erfurt.de			
eLife Innovation	https://elifesciences.org/about/innovation	@eLifeInnovation		Cambridge, UK	STM-only	Open Science, Reproducibility, Open Source, Open Data	Service	innovation@elifesciences.org	Emmy Tsang, Innovation Community Manager, @emmy_ft				
European Council of Doctoral Candidates and Junior Researchers (Eurodoc)	http://eurodoc.net/	@Eurodoc	https://www.facebook.com/eurodoc	Europe - Based in Brussels	ALL	Representing early-career researchers	Community	oleksandr.berezko@eurodoc.net		eva.hnatkova@eurodoc.net 		Eurodoc fully supports Open Science [https://www.ingentaconnect.com/content/sil/impact/2018/00002018/00000006/art00024] and specifically Plan S for Open Access [http://eurodoc.net/news/2019/press-release-researchers-respond-to-revised-guidance-for-plan-s] and is currently training 30 Open Science Ambassadors to act as contact points for early-career researchers in their countries!	
FAIRDOM and the FAIRDOM Hub	http://fair-dom.org, http://fairdomhub.org			ALL	Life Sciences	Training, public commons, software platform	Service	carole.goble@manchester.ac.uk		<Wolfgang.Mueller@h-its.org>			
FOSTER Open Science	https://www.fosteropenscience.eu/	@fosterscience	www.facebook.com/fosteropenscience/	EU	ALL	Open Science Advocacy and Training	Project/ Platform	elearning@fosteropenscience.eu					
Framework for Open and Reproducible Research Training (FORRT)	http://forrt.org/	@forrtproject		ALL	ALL	ALL, pre-registration, open data, open materials, replication research	Project/ Platform	info@forrt.org	azevedo@forrt.org	FORRTproject@gmail.com	fa441@cam.ac.uk	The Framework for Open and Reproducible Research Training (FORRT; https://forrt.org/) is a community-driven, grassroots organisation for researchers and  educators embedding open and reproducible scholarship into research and education. Our community addresses the societal challenge of advancing research transparency, reproducibility, and social justice through pedagogical reform. We champion the values of inclusive, collaborative, interdisciplinary, and accessible research in building pathways to support the adoption of open scholarship in teaching, training, and mentoring.	
Frankfurt Open Science Initiative	https://open-science-frankfurt.github.io/			Germany, Frankfurt am Main, University	ALL (theoretically), Psychology and related disciplines (in its current form)	ALL	Initiative	beitner@psych.uni-frankfurt.de	@JuliaBeitner	fiebach@psych.uni-frankfurt.de			
Free Our Knowledge	http://www.freeourknowledge.org/	@projectFOK	https://www.facebook.com/projectFOK/	ALL	ALL	ALL	Project	cooper.smout@gmail.com	@coopsmout			Collective action platform to accelerate uptake of open science practices in the research community	
Freie Universität Berlin Open Science Working Group 	https://wikis.fu-berlin.de/display/oswg	TBD	N/A	Berlin, University Berlin	ALL	ALL	Community	open-science-working-group-fu@lists.fu-berlin.de		dirk.ostwald@fu-berlin.de		The Open Science Working Group of Freie Universität Belrin	
frenxiv	http://frenxiv.org			French language	ALL	Preprints and Postprints	Service	khaled.moustafa@arabixiv.org					
Generation Research - GenR	https://genr.eu/	@gen_r_	N/A	Europe  	ALL	ALL	Service	simon@genr.eu				Editorial platform for Open Science and Scholarship in Europe aimed at researchers	
Global Young Academy - Open Science Working Group	https://globalyoungacademy.net/activities/open-science/			Germany, Halle		ALL	Community	srinjoy.mitra@ed.ac.uk		abel.polese@gmail.com			
Goettingen Open Source and Science Initiative of Psychology (GOSSIP)	https://www.psych.uni-goettingen.de/gossip			Göttingen, Germany	Psychology	Open Data, Open Source, Open Methodology, Open Access	Initiative	gerlach@uni-goettingen.de	tanjamgerlach@googlemail.com				
Graz Open Science Initiative (GOSI)		@grazopenscience		Austria	ALL	ALL	Initiative	tross@know-center.at	gabriela.hofer@uni-graz.at	hilmar.brohmer@uni-graz.at			
Harvard Open Access Project (HOAP)	http://cyber.law.harvard.edu/hoap	N/A	N/A	ALL	ALL	Open access, broadly construed	ALL	peter_suber@harvard.edu 					
Helmholtz Open Science Coordination Office	https://os.helmholtz.de/de/open-science-in-der-helmholtz-gemeinschaft/akteure-und-ihre-rollen/arbeitskreis-open-science/	@helmholtz_os		Germany	ALL	ALL	Community	open-science@helmholtz.de					
Humanities Commons		@humcommons		ALL	Humanities	Open Access, Open teaching materials	Community/ Project	hello@hcommons.org					
HuMetricsHSS	https://humetricshss.org	@humetricshss		ALL	ALL		Initiative	team@humetricshss.org				Tthe HuMetricsHSS team is committed to establishing humane indicators of excellence in academia, focused particularly on the humanities and social sciences (HSS).	
INA-Rxiv	https://osf.io/preprints/inarxiv/	@INArxiv_id		Indonesia	ALL	Preprints and Postprints	Service	dasaptaerwin3@gmail.com	@dasaptaerwin				
IndiaRxiv	https://indiarxiv.org/	@IndiaRxiv	https://www.facebook.com/indiarxiv/	India	ALL	Preprints and Postprints	Service	gutam2000@gmail.com	@SridharGutam			Open Access India <openaccessindia.org>	
Information and Communication Society of India (ICSI)	http://icsi-in.blogspot.com	@indiaICSI		South Asia	Information Science; Communication; Library Services	Open Science, Open Access, Open Research Data	Community	umunshi@gmail.com, icsi.president@gmail.com 		ANUP_CSP@JNU.AC.IN			
Innovations for Poverty Action	https://www.poverty-action.org/researchers/research-resources/research-transparency			ALL	Economics	Pre-registration, Data publication, Replications	Community	hbadani@poverty-action.org					
Institute for Globally Distributed Open Research and Education (IGDORE)	https://igdore.org/	@IGDOREInstitute	http://facebook.com/igdore	ALL	ALL	Open Academia, Open Science	Institute	rebecca.willen@igdore.org	info@igdore.org				
International Initiative for Impact Evaluation (3ie)	https://www.3ieimpact.org/	@3ieNews		ALL	Impact Evaluation; Systematic Reviews	Evaluation, Open Access, Open Data, Registry, replication and reproducibility	Initiative	mgaarder@3ieimpact.org	skhatua@3ieimpact.org	skhatua@3ieimpact.org			
IOSSG - Italian Open Science Support Group 	https://sites.google.com/view/iossg	@openscienceit		ITALY	ALL	ALL	Community	iossg@googlegroups.com					
J-PAL Global's research transparency initiative	https://www.povertyactionlab.org/rt			ALL (but mostly J-PAL affiliated researchers)	Economics	Pre-registration, Data publication, Replications	Service	jturitto@povertyactionlab.org		keesler@mit.edu			
Japan Open Science Summit (JOSS)	http://joss.rcos.nii.ac.jp/		https://www.facebook.com/joss.science/	ALL (based in Japan)	ALL	Open Science, Open Data (DMP, RDM, Data repository etc.)	Conference	joss2019-office@rcos.nii.ac.jp					
Joint Roadmap for Open Science Tools (JROST)	https://jrost.org/	@opensciroadmap		ALL	ALL	Open Infrastructure	Community/ Project	info@jrost.org					
Journal of European Psychology Students (JEPS)	https://jeps.efpsa.org	@efpsa_jeps	https://fb.me/efpsa.jeps	ALL (based in Europe)	Psychology (and neighbouring fields)	Publishing Outlet for Students, educating about Open Science practices by doing (UG, graduate level)	Journal / Service	journal@efpsa.org					
Journal of Open Research Software (JORS)	https://openresearchsoftware.metajnl.com/	@up_jors		ALL	ALL	Software papers	Journal	N.ChueHong@software.ac.uk	@npch	support@ubiquitypress.com		Encourages open licensing and reuse of software for research	
Journal of Open Source Software (JOSS)	http://joss.theoj.org	@JOSS_TheOJ		ALL	ALL	Software papers	Journal	admin@theoj.org				Performs open peer review of short papers and open source software repositories, leading to open access publications	
Just One Giant Lab	https://jogl.io/	@justonegiantlab		ALL	ALL	ALL	Community	hello@jogl.io					https://secure.meetupstatic.com/photos/event/4/b/a/e/highres_482779374.jpeg
King's Open Research Group Initiative (KORGI)				King's College London	ALL	ALL		samuel.westwood@kcl.ac.uk					
Knowledge Futures Group	https://kfg.mit.edu	@knowledgefuture		ALL (based at MIT)	ALL	Publishing, Research +Data infrastructure	Community/Project	sjklein@mit.edu	@metasj			Maintains PubPub, Underlay, + Patent Archive projects	
Läpinäkyvämpää tiedettä			https://www.facebook.com/groups/2143568059230565/	Finland 	ALL 	ALL	Community	kaisa.saurio@zoho.com		anton.kunnari@helsinki.fi		A grassroots network for peer support and advocating for open and transparent science.	
lawarxiv	http://lawarxiv.org/			ALL	Legal scholarship	Preprints and Postprints	Service	corie.dugas@nellco.org		ph424@cornell.edu			
Leibniz Research Alliance Open Science	https://www.leibniz-openscience.de/	@lfvopenscience		Germany		Research, Open Science, Open Materials, Open Methodes	Association	g.scherp@zbw.eu		k.tochtermann@zbw.eu			
LIBER Open Access Working Group	https://libereurope.eu/strategy/innovative-scholarly-communication/openaccess/	@LIBEReurope		Europe	Library Information Sciences	Open Acces, Open Science	Association/ Community	sofie.wennstrom@su.se	@SofieWennstrom	gtsak@upatras.gr	Giannis Tsakonas	A part of LIBER, with specific focus on Open Access (and Open Science) aiming to share knowledge among research libraries in Europe and beyond	
LIS Scholarship Archive	https://lissarchive.org/	@lissaarchive		ALL	Library Information Sciences	Open Research, Preprints and Postprints	Service	vicky.steeves@nyu.edu					
LMU Open Science Center	https://www.osc.uni-muenchen.de/index.html	@lmu_osc		Germany, LMU Munich	ALL	Open Data, Open Materials, Preregistration	Community	felix.schoenbrodt@psy.lmu.de					
Loss-of-Confidence Project	https://lossofconfidence.com/			ALL	Psychology	Prepritn and collection of additional submissions	Project	julia.rohrer@uni-leipzig.de					
M4K Pharma	https://m4kpharma.com/	@M4KPharma	https://www.facebook.com/M4KPharma/	ALL- but based in Canada	Drug Discovery and Development	Open and collaborative Drug Discovery for Children's diseases, Open Data	Initiative	arij@m4kpharma.com	@tweetsfromArij			Open Science for Children's Health | Medicines4Kids: Developing an affordable cure for DIPG - a rare children's brain cancer | Open Source Drug Discovery |	
Mannheim Open Science Meetup	https://www.uni-mannheim.de/en/news/mannheim-open-science-meetup0/	@MAOpenScience		Mannheim, Germany									
Marburg Psychology Open Science Initiative	https://osf.io/kup26/			Marburg, Germany	Psychology	ALL	Initiative	erik.mueller@uni-marburg.de					
Marie Curie Alumni Association (MCAA)	https://www.mariecuriealumni.eu/	@Mariecurie_alum	https://www.facebook.com/www.mariecuriealumniassociation/	ALL - Based in Brussels	ALL	Representing MSCA researchers	Association 	mattias.bjoernmalm@gmail.com	policy@mariecuriealumni.eu	matthew.difranco@mariecuriealumni.eu 		34 geographical chapters on 5 continents. Nearly 14k registered members as of June 14, 2019	
Mass pre-reg replications of classic findings in JDM	http://mgto.org/pre-registered-replications/ 	@giladfeldman		Based in Hong Kong, serving ALL	Judgment and decision making	Replications and mass mobilizing students to address crisis, Pre-Registration	Project	giladfel@gmail.com	@giladfeldman			We're looking for JDM ECR to collaborate with. Join us.	
MediArXiv	https://mediarxiv.org/	@mediarxiv		ALL	Media studies	Preprints and Postprints	Service	mediarxiv@mediarxiv.com		jsondervan@gmail.com			
medRxiv	https:medrxiv.org	@medrxivpreprint		ALL	Health sciences	Preprints	Service	inglis@cshl.edu		sever@cshl.edu			
Melbourne Open Research Network	https://www.melbourneopenresearch.org/	@melbopenres		Melbourne, Australia	ALL	ALL	Community	m.ling@deakin.edu.au				Part of the Australia & New Zealand Open Research Network (ANZORN)	
Meta-Methods PH	 		https://www.facebook.com/groups/304948156872890/	Philippines	Psychology	ALL	Community	MiguelSilan@gmail.com				Meta-methods community in the Philippines, currently focusing on learning modules, methods pedagogy and local methods reform 	
Metadata 2020	http://metadata2020.org	@metadata2020		ALL	ALL	ALL	Open metadata; community; advocacy; education	ghendricks@metadata2020.org		lpaglione@metadata2020.org	@GinnyLDN	Metadata 2020 is a collaboration that advocates richer, connected, and reusable, open metadata for all research outputs, which will advance scholarly pursuits for the benefit of society.	
metarxiv	https://osf.io/preprints/metaarxiv/			ALL	metaresearch	Preprints and Postprints	Service	emiguel@berkeley.edu 		khoeberling@berkeley.edu 			
MMM	https://wikis.fu-berlin.de/display/mmm/The+MMM+project+wiki			ALL	ALL	ALL							
Mozilla Science	https://science.mozilla.org/	@MozillaScience		ALL	ALL	fellowships, training	Service		@shefw				
Netzwerk der Open Science Initiativen (NOSI)	https://osf.io/tbkzh/			Germany	Psychology	reproducibility, replication, promoting open science							
Netzwerk der Open Science Initiativen (NOSI), Germany	https://osf.io/tbkzh/wiki/home/			Germany	ALL (theoretically), Psychology and related disciplines (in its current form)	ALL	Community	felix.schoenbrodt@psy.lmu.de	andreas.gloeckner@psych.uni-goettingen.de	baumert@coll.mpg.de		This is the network of (currently 13) German open science initiatives	
New Zealand Open Research Network	https://nzorn.netlify.com/	@nzopenres		New Zealand	ALL	ALL	Community	M.N.Williams@massey.ac.nz				Part of the Australia & New Zealand Open Research Network (ANZORN)	
No-Budget Science		@nobudgetscience	http://facebook.com/nobudgetscience	Brazil	ALL (focus on life sciences)	Metaresearch and open science	Community	nobudgetscience@gmail.com		olavo@bioqmed.ufrj.br			
NumFOCUS	numfocus.org	@numfocus	https://www.facebook.com/NumFOCUS/	ALL (based in USA)	ALL (focus on scientific computing)	education, open source sustainability see numfocus.org/programs	Initiative	info@numfocus.org				The mission of NumFOCUS is to promote open practices in research, data, and scientific computing by serving as a fiscal sponsor for open source projects and organizing community-driven educational programs.	
NutriXiv	http://nutrixiv.org	@nutrixiv		ALL	Nutrition	Preprints and Postprints	Service	ksburger@email.unc.edu	@kylesburger				
Observational Health Data Sciences and Informatics (OHDSI)	https://www.ohdsi.org/	@OHDSI		ALL (based in USA)	Observational Health Data Sciences	open science, informatics, 	Healthcare	sachson@ohdsi.org				The OHDSI mission is to improve health by empowering a community to collaboratively generate the evidence that promotes better health decisions and better care. 	
Open Access Directory (OAD)	http://oad.simmons.edu	@OADirectory		ALL	ALL	All and only OA-related topics	Compendium	oad.contact@gmail.com	@nancypontika	peter.suber@gmail.com	@petersuber	Launched in 2008; crowd-source; the Open Access Directory (OAD) is a compendium of simple factual lists about open access (OA) to science and scholarship.	
Open Access India	openaccessindia.org	@oaindia	https://www.facebook.com/oaindia/	India		Advocacy, Open Access	Community	gutam2000@gmail.com	@SridharGutam	anupdas2072@gmail.com 	@AannuuppK	The Open Access India is a community of practice was initially an online Facebook group formed on 8th July 2011	
Open Access Tracking Project (OATP)	https://cyber.harvard.edu/hoap/Open_Access_Tracking_Project	@oatp	not planned	ALL	ALL	All and only OA-related topics 	Project	peter.suber@gmail.com 	@petersuber	peter_suber@harvard.edu		Launched in 2009; crowd-sourced; runs on open-sourced software	
Open and Collaborative Science for Development Opportunities (OCSD Network)	https://ocsdnet.org/	@ocsdnet		Global South	ALL	ALL	Community	chan@utsc.utoronto.ca	@lesliekwchan	aokune@uci.edu	@Honoluluskye		
Open Bioinformatics Foundation	https://www.open-bio.org/	@obf_news		ALL	Bioinformatics / Life sciences	ALL	Community/ Projects	board@open-bio.org				The Open Bioinformatics Foundation, founded in 2001, is a non-profit, volunteer-run group that promotes open source software development and Open Science within the biological research community. It runs the annual Bioinformatics Open Source Conference (BOSC).	
Open Engineering	https://www.openengr.com	@openengr	https://www.facebook.com/OpenEngr	ALL	Engineering	ALL	Organization	devin@openengr.com	@devinberg			Open Engineering is the non-profit behind engrXiv	
Open Force Field Initiative	https://openforcefield.org/	@openforcefield		ALL	Computational chemistry & biophysics	Open source / open data / open science for molecular modelling	Service	info@openforcefield.org	@karmecon	john.chodera@choderalab.org	@jchodera	The Open Force Field Initiative is an academic-industry partnership to develop a new generation of molecular mechanics force fields using open software infrastructure and open datasets, with a focus on general small molecule force fields.	
Open Knowledge - Nepal	http://oknp.org/	@okfn_np		Nepal	ALL	Perhaps strongest on open data	Community/Service 	kshitiz@oknp.org		nikeshbalami@oknp.org			
Open Knowledge Foundation	https://okfn.org/	@OKFN		Predominantely Europe but strong chapters elsewhere too e.g. Nepal	ALL	ALL	Community, Service	catherine.stihler@okfn.org		Lilly.winfree@okfn.org			
Open Knowledge Maps	https://openknowledgemaps.org/	@OK_Maps		ALL	ALL	Open Discovery							
Open Plant Pathology	https://openplantpathology.org/	@OpenPlantPath		ALL	Plant Pathology	ALL	Community	openplantpathology@gmail.com					
Open Research London	https://twitter.com/openresldn	@OpenResLDN		London, England	Sciences 	ALL	Community	martin.jones@crick.ac.uk	@martinjones78	frank.norman@crick.ac.uk	@franknorman	 A community of students, researchers and librarians in London passionate about making the outputs of publicly funded research more open and reuseable. First meeting was back in January 2015. Two or three evening sessions of talks arranged per year. 	
Open Scholar CIC	http://www.openscholar.org.uk	@os_soc		ALL	ALL	Peer review, Evaluation	Community/ Projects	peraka@ugr.es	@ppandelis			Focus on developing models and infrastructure for repository-based peer review and evaluation.	
